id,date,shortName,team_id,team_score,broadcast,city,state,game_stat_display_name,game_stat_name,game_stat_value,leader_team_id,leader_stat_name,leader_stat_value,leader_id,leader_display_name,team_logo_filename,displayName,team_name
401725075,2024-09-30T00:30Z,CONN @ MIN,18,0,ESPN,Minneapolis,MN,FTM,freeThrowsMade,629,18,Points Per Game,15.0249996185303,869,DeWanna Bonner,C:/Users/Maxin/OneDrive/Documents/programming/R_workshop/www/team/18.png,Connecticut Sun,Connecticut Sun
401725075,2024-09-30T00:30Z,CONN @ MIN,18,0,ESPN,Minneapolis,MN,PTS,points,3204,18,Points Per Game,15.0249996185303,869,DeWanna Bonner,C:/Users/Maxin/OneDrive/Documents/programming/R_workshop/www/team/18.png,Connecticut Sun,Connecticut Sun
401725075,2024-09-30T00:30Z,CONN @ MIN,18,0,ESPN,Minneapolis,MN,3P%,threePointPct,32.7,18,Points Per Game,15.0249996185303,869,DeWanna Bonner,C:/Users/Maxin/OneDrive/Documents/programming/R_workshop/www/team/18.png,Connecticut Sun,Connecticut Sun
401725075,2024-09-30T00:30Z,CONN @ MIN,18,0,ESPN,Minneapolis,MN,3PA,threePointFieldGoalsAttempted,719,18,Points Per Game,15.0249996185303,869,DeWanna Bonner,C:/Users/Maxin/OneDrive/Documents/programming/R_workshop/www/team/18.png,Connecticut Sun,Connecticut Sun
401725075,2024-09-30T00:30Z,CONN @ MIN,18,0,ESPN,Minneapolis,MN,3PM,threePointFieldGoalsMade,235,18,Points Per Game,15.0249996185303,869,DeWanna Bonner,C:/Users/Maxin/OneDrive/Documents/programming/R_workshop/www/team/18.png,Connecticut Sun,Connecticut Sun
401725075,2024-09-30T00:30Z,CONN @ MIN,18,0,ESPN,Minneapolis,MN,PTS,avgPoints,80.1,18,Points Per Game,15.0249996185303,869,DeWanna Bonner,C:/Users/Maxin/OneDrive/Documents/programming/R_workshop/www/team/18.png,Connecticut Sun,Connecticut Sun
401725075,2024-09-30T00:30Z,CONN @ MIN,18,0,ESPN,Minneapolis,MN,AST,avgAssists,19.9,18,Points Per Game,15.0249996185303,869,DeWanna Bonner,C:/Users/Maxin/OneDrive/Documents/programming/R_workshop/www/team/18.png,Connecticut Sun,Connecticut Sun
401725075,2024-09-30T00:30Z,CONN @ MIN,18,0,ESPN,Minneapolis,MN,3P%,threePointFieldGoalPct,32.7,18,Points Per Game,15.0249996185303,869,DeWanna Bonner,C:/Users/Maxin/OneDrive/Documents/programming/R_workshop/www/team/18.png,Connecticut Sun,Connecticut Sun
401725075,2024-09-30T00:30Z,CONN @ MIN,18,0,ESPN,Minneapolis,MN,REB,rebounds,1338,18,Rebounds Per Game,8.42500019073486,2529140,Alyssa Thomas,C:/Users/Maxin/OneDrive/Documents/programming/R_workshop/www/team/18.png,Connecticut Sun,Connecticut Sun
401725075,2024-09-30T00:30Z,CONN @ MIN,18,0,ESPN,Minneapolis,MN,REB,avgRebounds,33.5,18,Rebounds Per Game,8.42500019073486,2529140,Alyssa Thomas,C:/Users/Maxin/OneDrive/Documents/programming/R_workshop/www/team/18.png,Connecticut Sun,Connecticut Sun
