id,date,shortName,team_id,team_score,broadcast,city,state,game_stat_display_name,game_stat_name,game_stat_value,leader_team_id,leader_stat_name,leader_stat_value,leader_id,leader_display_name,team_logo_filename,displayName,lat,long,winner
401725075,2024-09-30T00:30Z,CONN @ MIN,8,70,ESPN,Minneapolis,MN,3PM,threePointFieldGoalsMade,5,8,Rating,35.25,3917450,Napheesa Collier,C:/Users/Maxin/OneDrive/Documents/programming/R_workshop/www/team/8.png,Minnesota Lynx,44.9772995,-93.2654692,FALSE
401725075,2024-09-30T00:30Z,CONN @ MIN,8,70,ESPN,Minneapolis,MN,PTS,avgPoints,0.0,8,Rating,35.25,3917450,Napheesa Collier,C:/Users/Maxin/OneDrive/Documents/programming/R_workshop/www/team/8.png,Minnesota Lynx,44.9772995,-93.2654692,FALSE
401725075,2024-09-30T00:30Z,CONN @ MIN,8,70,ESPN,Minneapolis,MN,AST,avgAssists,0.0,8,Rating,35.25,3917450,Napheesa Collier,C:/Users/Maxin/OneDrive/Documents/programming/R_workshop/www/team/8.png,Minnesota Lynx,44.9772995,-93.2654692,FALSE
401725075,2024-09-30T00:30Z,CONN @ MIN,8,70,ESPN,Minneapolis,MN,3P%,threePointFieldGoalPct,25.0,8,Rating,35.25,3917450,Napheesa Collier,C:/Users/Maxin/OneDrive/Documents/programming/R_workshop/www/team/8.png,Minnesota Lynx,44.9772995,-93.2654692,FALSE
401725075,2024-09-30T00:30Z,CONN @ MIN,18,73,ESPN,Minneapolis,MN,REB,rebounds,39,18,Points,20,3904576,Marina Mabrey,C:/Users/Maxin/OneDrive/Documents/programming/R_workshop/www/team/18.png,Connecticut Sun,44.9772995,-93.2654692,TRUE
401725075,2024-09-30T00:30Z,CONN @ MIN,18,73,ESPN,Minneapolis,MN,REB,avgRebounds,0.0,18,Points,20,3904576,Marina Mabrey,C:/Users/Maxin/OneDrive/Documents/programming/R_workshop/www/team/18.png,Connecticut Sun,44.9772995,-93.2654692,TRUE
401725075,2024-09-30T00:30Z,CONN @ MIN,18,73,ESPN,Minneapolis,MN,AST,assists,24,18,Points,20,3904576,Marina Mabrey,C:/Users/Maxin/OneDrive/Documents/programming/R_workshop/www/team/18.png,Connecticut Sun,44.9772995,-93.2654692,TRUE
401725075,2024-09-30T00:30Z,CONN @ MIN,18,73,ESPN,Minneapolis,MN,FGA,fieldGoalsAttempted,75,18,Points,20,3904576,Marina Mabrey,C:/Users/Maxin/OneDrive/Documents/programming/R_workshop/www/team/18.png,Connecticut Sun,44.9772995,-93.2654692,TRUE
401725075,2024-09-30T00:30Z,CONN @ MIN,18,73,ESPN,Minneapolis,MN,FGM,fieldGoalsMade,31,18,Points,20,3904576,Marina Mabrey,C:/Users/Maxin/OneDrive/Documents/programming/R_workshop/www/team/18.png,Connecticut Sun,44.9772995,-93.2654692,TRUE
401725075,2024-09-30T00:30Z,CONN @ MIN,18,73,ESPN,Minneapolis,MN,FG%,fieldGoalPct,41.3,18,Points,20,3904576,Marina Mabrey,C:/Users/Maxin/OneDrive/Documents/programming/R_workshop/www/team/18.png,Connecticut Sun,44.9772995,-93.2654692,TRUE
